brand,product_name
华为（HUAWEI）,华为(HUAWEI) MateBook D(2018版) 15.6英寸轻薄微边框笔记本(i5-8250U 8G 256G MX150 2G独显 FHD office)银
戴尔（DELL）,戴尔DELL灵越5000 15.6英寸轻薄笔记本电脑(AMD Ryzen R5-2500U 8G 256G PCIe SSD FHD)银
联想（Lenovo）,联想(Lenovo)小新Air 15.6英寸超轻薄高性能窄边框笔记本电脑(i7-8550U 8G 256G PCIE MX150 2G)玛瑙黑
苹果（Apple）,苹果（Apple） MacBook Air 苹果笔记本电脑 13.3英寸轻薄本 套餐版下单即送大礼包 2017款/i5/8GB/128GB/D32
华为（HUAWEI）,华为(HUAWEI) MateBook X Pro 13.9英寸超轻薄全面屏笔记本(i5-8250U 8G 256G MX150 3K 指纹 office)灰
Apple,Apple MacBook Pro 13.3英寸笔记本电脑 深空灰色（2017款Core i5处理器/8GB内存/128GB硬盘 MPXQ2CH/A）
戴尔（DELL）,戴尔DELL XPS尊享版13.3英寸轻薄窄边框笔记本电脑(i7-8550U 16G 512GSSD IPS 2年全智服务)无忌银
惠普（HP）,惠普(HP)星 13-an0005TU 13.3英寸轻薄笔记本电脑(i7-8565U 8G 256G PCIE SSD UMA FHD IPS 72%色域)银
惠普（HP）,惠普（HP）薄锐ENVY 13-ah1002TU 13.3英寸超轻薄笔记本电脑（i5-8265U 8G 360G SSD UMA FHD IPS）银色
ThinkPad,联想ThinkPad E480（2UCD）14英寸窄边框笔记本电脑（i3-7020U 4G 500G Win10）黑
戴尔（DELL）,戴尔DELL燃7000 3代 14.0英寸轻薄窄边框笔记本电脑(i5-8265U 8G 256GSSD FHD 背光键盘)元気粉
华硕（ASUS）,华硕(ASUS) 飞行堡垒5 15.6英寸游戏笔记本电脑(i7-8750H 8G 128GSSD+1T GTX1050Ti 4G IPS)冰魂黑(FX80)
惠普（HP）,惠普（HP）薄锐ENVY 13-ah1002TX 13.3英寸超轻薄笔记本电脑（i5-8265U 8G 360GSSD Mx150 2G独显 FHD）银
华硕（ASUS）,华硕(ASUS) 飞行堡垒6 15.6英寸游戏笔记本电脑(i7-8750H 8G 256GSSD+1T GTX1050Ti 4G 72%NTSC IPS)金属电竞
ThinkPad,联想ThinkPad X1 Carbon（07CD）14英寸轻薄笔记本电脑（i5-7200U 8G 256GSSD 背光键盘 FHD Win10）
ThinkPad,联想ThinkPad E480（36CD）英特尔7代酷睿14英寸窄边框笔记本电脑（i5-7200U 8G 500G Win10）黑
微软（Microsoft）,微软（Microsoft）Surface Pro（第五代）二合一平板电脑笔记本（Core M3 4G内存 128G存储）
惠普（HP）,惠普（HP）246 G6 14英寸笔记本电脑（i5-7200U 4G 500G 2G独显 Win10 一年上门）黑灰银色
微软（Microsoft）,微软（Microsoft）Surface Laptop超轻薄触控笔记本（13.5英寸 i5-7200U 8G 256GSSD Windows10S）亮铂金
神舟（HASEE）,神舟(HASEE)精盾T67E GTX1050Ti 4G独显 15.6英寸商务游戏笔记本电脑(i7-8750H 8G 256G SSD 1080P)IPS
机械师游戏本（MACHENIKE）,机械师F117-B2 全面屏游戏本八代i7-8750H/GTX1050Ti独显轻薄吃鸡笔记本电脑 豪华版i7-8750H/8G/256G固态+1T
联想（Lenovo）,联想IdeaPad330c 14英寸八代酷睿I5/I7超高性能笔记本电脑手提轻薄本 商务本办公笔记本 定制I7-8550U 8G 1T+128G双硬盘 MX110 2G显卡 W10 黑色
神舟（HASEE）,神舟(HASEE)战神Z6-KP5GT GTX1050 2G独显 15.6英寸游戏笔记本电脑(i5-7300HQ 8G 1T+128G SSD 1080P)黑色
